theoretical_quantile,sample_quantile,reference_line
-3.531216553663483,-0.11568540700043876,-0.04461344582435712
-3.2893842400200746,-0.10349762434811823,-0.04155802900502145
-3.155753614766566,-0.07496640479267222,-0.03986968035621366
-3.062139238067016,-0.06263292244949334,-0.03868691475805959
-2.989495702920906,-0.055776426350573984,-0.03776910408273061
-2.9298592627283053,-0.052746839087630185,-0.0370156308199372
-2.879115122170189,-0.05255324254872957,-0.036374506818731056
-2.834851504978115,-0.05252528777632143,-0.035815260626955704
-2.7955299015545365,-0.051311887090261576,-0.03531845403128791
-2.760107039239458,-0.050790359770264186,-0.034870905861748853
-2.7278419557565448,-0.049824905474243966,-0.03446325447196673
-2.698188929280136,-0.04914480968207113,-0.03408860497010644
-2.6707340833183943,-0.04877256090607552,-0.03374172825681713
-2.64515586264635,-0.048376914663652466,-0.03341856166062237
-2.6211993299332685,-0.04811624852998313,-0.03311588419009853
-2.5986588520175413,-0.047502035301253916,-0.032831097784584796
-2.5773660848755493,-0.045728096524509175,-0.03256207551094534
-2.5571814198075673,-0.04504039910302217,-0.03230705349088433
-2.5379877571450096,-0.04461180135608735,-0.032064552235198926
-2.519685885174114,-0.04419486664017145,-0.031833318259049406
-2.5021909909887703,-0.04339937412575534,-0.03161227999852473
-2.4854299853938935,-0.04326730965107911,-0.03140051401228403
-2.4693394236221446,-0.04198987234526795,-0.03119721871096854
-2.453863869065344,-0.04171307970849898,-0.031001693683857735
-2.4389545911327715,-0.041044062839985865,-0.030813323247033057
-2.4245685183908767,-0.04099893152741318,-0.030631563216880157
-2.410667389057207,-0.04098204820994779,-0.030455930177052056
-2.3972170557216406,-0.040892386489993215,-0.030285992694008498
-2.3841869117939796,-0.04077753004640082,-0.030121364070500208
-2.3715494149090963,-0.04052542277385685,-0.02996169632405789
-2.3592796882173688,-0.0401863232496754,-0.029806675149518597
-2.347355184733281,-0.039444231931359326,-0.0296560156782569
-2.335755403112267,-0.03937372513940303,-0.029509458887183364
-2.324461645657898,-0.03936310151728057,-0.029366768541299902
-2.313456811228326,-0.039171561635565795,-0.029227728577187827
-2.3027252171564907,-0.038900118369097125,-0.02909214085306872
-2.29225244542686,-0.038283625076409006,-0.028959823205333024
-2.282025209238869,-0.037772883264568666,-0.028830607762643328
-2.2720312367901156,-0.037143201029176204,-0.028704339477599653
-2.262259169672837,-0.03712494187280758,-0.0285808748430354
-2.252698473726978,-0.03712386717038048,-0.028460080765695492
-2.2433393605562495,-0.036291318477045836,-0.028341833574635343
-2.234172718208358,-0.0355309807219211,-0.02822601814540416
-2.225190049761202,-0.035487650831694674,-0.028112527124115633
-2.2163834187542113,-0.03541573201080348,-0.028001260238003308
-2.2077454005667803,-0.035264077171802105,-0.027892123681114052
-2.1992690389804657,-0.034988180614147074,-0.027785029565495636
-2.1909478072737842,-0.03486572456022029,-0.027679895429651102
-2.1827755732920893,-0.03478152469329415,-0.027576643797216093
-2.174746568013533,-0.034761266703015485,-0.027475201779807248
-2.1668553571982914,-0.03434825341909279,-0.02737550071882594
-2.1590968157640873,-0.03432413485461078,-0.02727747586170724
-2.1514661045784633,-0.03426822737749183,-0.027181066068703203
-2.1439586493985603,-0.034168368421101415,-0.027086213546798674
-2.136570121723584,-0.03399670068534894,-0.02699286360779285
-2.129296421354642,-0.03373919051932215,-0.026900964447952515
-2.1221336604819157,-0.0334221994456888,-0.026810466946962312
-2.115078149140958,-0.03315871899612552,-0.026721324484173144
-2.1081263818987352,-0.0327748457908513,-0.026633492770387724
-2.1012750256463475,-0.032310186385781196,-0.02654692969362837
-2.0945209083895193,-0.03196146473700921,-0.02646159517751111
