theoretical_quantile_t,sample_quantile,reference_line
-7.582995884211894,-4.8254603761179835,-6.090028987977285
-6.165888363571025,-4.744886592637338,-4.9525444445499955
-5.582042541940189,-4.719598763303966,-4.483902800795721
-5.220241018826051,-4.701395300451087,-4.193491780928528
-4.960907108299486,-4.575367281346308,-3.985329513412568
-4.760141257513436,-4.283472814909407,-3.82417868414177
-4.597080105707662,-4.19401936556296,-3.693292680708073
-4.460223820390771,-3.7977252024403945,-3.5834408120591523
-4.34258356277736,-3.7038678021941736,-3.4890132737312602
-4.2396058393285445,-3.671644142762256,-3.406355065349595
-4.148164653169625,-3.648348700729554,-3.332957010245498
-4.066024673347842,-3.627107142396862,-3.267024851899141
-3.991534282408418,-3.6087666460908734,-3.2072328692208387
-3.923439918470772,-3.5922499335693066,-3.1525748525598614
-3.8607685272236725,-3.581571894073474,-3.102269750215601
-3.802750256529106,-3.4822946462527544,-3.055699616905177
-3.748765959845481,-3.453922319879775,-3.012367475786028
-3.698310554563404,-3.3671772730940073,-2.9718679069073257
-3.65096683133881,-3.208610445874287,-2.9338660244729424
-3.60638634005787,-3.187021407156125,-2.89808213437861
-3.5642751819233447,-3.130177449867918,-2.8642803297969914
-3.5243832745965777,-3.125173876223614,-2.8322598745167102
-3.4864961220694775,-3.121412077892204,-2.801848596779253
-3.4504284213023864,-3.079928254524517,-2.772897757451992
-3.4160190362181644,-3.0787311940091797,-2.7452780157513486
-3.383127003591643,-3.0681871514023675,-2.7188762232482264
-3.351628327415606,-3.062998612154741,-2.6935928507681624
-3.321413382637789,-3.0619541269198005,-2.6693399044216966
-3.292384794793621,-3.0353066817783323,-2.6460392236269676
-3.264455694891752,-3.032034289649208,-2.623621080340391
-3.237548272839908,-3.013144013198185,-2.6020230179198305
-3.2115925703504784,-3.002549324223377,-2.5811888822134788
-3.186525467430549,-3.0009439529143545,-2.561068008035191
-3.1622898264814183,-2.9529765611431653,-2.541614532149873
-3.1388337655800735,-2.951755472005587,-2.5227868099507114
-3.1161100383084617,-2.936719467329789,-2.5045469176602335
-3.0940755019810817,-2.8958231734106135,-2.486860225486977
-3.0726906596201706,-2.8816661782900597,-2.469695029977913
-3.0519192637777928,-2.745491061200858,-2.4530222360141707
-3.0317279724805646,-2.744769974920153,-2.436815080644585
-3.0120860493067743,-2.698920851901764,-2.421048892343454
-2.992965100995632,-2.696747404677967,-2.405700880394608
-2.974338847109226,-2.6852332579561295,-2.3907499500035545
-2.9561829171766365,-2.6801315998848327,-2.3761765394690246
-2.938474671490525,-2.668464475941513,-2.361962476339887
-2.9211930423334826,-2.653095761729839,-2.3480908499706414
-2.904318392911076,-2.6476895232999103,-2.3345458982897265
-2.8878323916817883,-2.642658776235743,-2.321312906926617
-2.8717179001171678,-2.614294784772119,-2.3083781191190864
-2.855958872211816,-2.5990491782542775,-2.295728655051836
